ecc77a0,Jordan Powers,2020-05-20 11:54:33 -0700,Improve message page CSS,55,30,85
f9376d5,Drof Aras,2020-05-20 11:17:47 -0700,add supplies,501,17,518
a520767,Jordan Powers,2020-05-19 17:18:14 -0700,Merge branch 'master' into cleanup,0,0,0
cc7ac8d,Jordan Powers,2020-05-19 17:01:55 -0700,Refactor api structure,149,104,253
b7689e8,Jordan Powers,2020-05-18 12:03:55 -0700,Should be fixed now (again),1,1,2
0d26842,Jordan Powers,2020-05-18 08:44:00 -0700,Remove Material Sidenav,7,6,13
fb9c0ca,frawson10,2020-05-18 08:19:31 -0700,add java obects,30,0,30
a64c5c4,Jordan Powers,2020-05-17 23:09:56 -0700,Add authentication,113,60,173
e7d78ce,Jordan Powers,2020-05-15 12:20:35 -0700,Add new conversation starter,108,32,140
3d1dd95,Jordan Powers,2020-05-15 08:44:36 -0700,Start on Messenger,191,10,201
d9c7cc2,Drof Aras,2020-05-14 13:01:19 -0700,formatted post page,9,0,9
9b276ab,Drof Aras,2020-05-14 12:07:07 -0700,fixed redirect and bars under title,3,3,6
0a077ed,Drof Aras,2020-05-14 11:40:12 -0700,routed the buttons,48,36,84
3e1ac3f,Jordan Powers,2020-04-28 22:11:19 -0700,Mock api service in testcase,8,1,9
ce5575f,Jordan Powers,2020-04-24 17:04:56 -0700,Add api service to ui,19,15,34
bb2228a,Jordan Powers,2020-04-23 11:52:04 -0700,Update tests,1,5,6
d4f368d,Jordan Powers,2020-04-22 22:12:46 -0700,Add javascript to sonarcloud,13,1,14
4f2e1ba,Jordan Powers,2020-04-22 20:54:57 -0700,Travis cache node modules,3,1,4
e429a0e,Jordan Powers,2020-04-20 10:23:14 -0700,Add test coverage to SonarCloud,1,0,1
ac47c86,Jordan Powers,2020-04-17 14:33:12 -0700,Regenerated key,1,4,5
c7d12af,Jordan Powers,2020-04-17 14:14:59 -0700,Wrong key. Oops,2,1,3
3c8cc00,Jordan Powers,2020-04-17 12:50:33 -0700,Update Sonarcloud settings in build.gradle,1,3,4
ea64528,Jordan Powers,2020-04-17 12:38:23 -0700,Setup Sonarcloud,13,0,13
ce82f90,Jordan Powers,2020-04-17 12:23:08 -0700,Add executable property,0,0,0
3ecbdb7,Ryan Madamba,2020-04-15 11:01:00 -0700,Adding User Stories and Function Requirements,13,0,13
fecea7c,Luis703,2020-04-10 12:14:54 -0700,adding Garcia-FR and Garcia-US,8,0,8
0a12b54,Raymond Lenz,2020-04-10 12:00:14 -0700,Add Lenz-FR,0,0,0
ffa72a3,frawson10,2020-04-10 11:38:37 -0700,Add User Stories Finian Rawson,7,0,7
e5d81e5,Jordan Powers,2020-04-10 11:32:14 -0700,Add Powers-US User Stories,3,0,3
0ad31ed,Jordan Powers,2020-04-08 08:51:09 -0700,README,4,0,4
